Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
3D,20-21,10,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
4A,20-21,1,Colouring works,142585.00,Colouring,No Issue,,
4A,20-21,2,Drainage works,123628.00,Drainage,No Issue,,
4A,20-21,3,Road Concretization,122414.00,Concretization,No Issue,,
4A,20-21,4,Cleaning material purchase etc,131972.00,Cleaning,No Issue,,
4A,20-21,5,Drainage works,122628.00,Drainage,No Issue,,
4A,20-21,6,"Furniture works, curtains etc.",155760.00,Furniture,No Issue,,
4A,20-21,7,Library sheds/ library maintenance,155808.00,Library,No Issue,,
4A,20-21,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,155716.00,Road,No Issue,,
4A,20-21,9,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
4B,20-21,1,Drainage works,133272.00,Drainage,No Issue,,
4B,20-21,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,173718.00,Road,No Issue,,
4B,20-21,3,Drainage works,133909.00,Drainage,No Issue,,
4B,20-21,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,134064.00,Road,No Issue,,
4B,20-21,5,Distribution of masks,100000.00,Help / Fund / Relief Work,No Issue,,
4B,20-21,6,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
4B,20-21,7,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
4B,20-21,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199918.32,Road,No Issue,,
4B,20-21,9,Gym / gym equipments,129950.00,Gym,No Issue,,
4B,20-21,10,Gym / gym equipments,128910.00,Gym,No Issue,,
4B,20-21,11,Distribution of masks,100000.00,Help / Fund / Relief Work,No Issue,,
4C,20-21,1,Building toilets / maintenance etc.,157899.00,Toilet,No Issue,,
4C,20-21,2,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,148314.00,Buildings,No Issue,,
4C,20-21,3,Drainage works,120581.00,Drainage,No Issue,,
4C,20-21,4,Cleaning material purchase etc,131919.00,Cleaning,No Issue,,
4C,20-21,5,Library sheds/ library maintenance,148315.00,Library,No Issue,,
4C,20-21,6,Library sheds/ library maintenance,177789.00,Library,No Issue,,
4C,20-21,7,Shed construction,145729.00,Buildings,No Issue,,
4C,20-21,8,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
4C,20-21,9,Mainetnance and cleaning works,197597.00,Maintenance,No Issue,,
4D,20-21,1,Drainage works,123242.00,Drainage,No Issue,,
4D,20-21,2,Mainetnance and cleaning works,200000.00,Maintenance,No Issue,,
4D,20-21,3,gym / gym equipments,148241.00,Gym,No Issue,,
4D,20-21,4,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
4D,20-21,5,Hands free wash basin system installation,199918.00,Help / Fund / Relief Work,No Issue,,
4D,20-21,6,Sanitizer system installation,199357.00,Help / Fund / Relief Work,No Issue,,
4D,20-21,7,Mainetnance and cleaning works,179230.00,Maintenance,No Issue,,
4D,20-21,8,Drainage works,199064.00,Drainage,No Issue,,
5A,20-21,1,Sanitizer stand supply,199350.00,Help / Fund / Relief Work,No Issue,,
5A,20-21,2,Bags,198987.75,Bags,No Issue,,
5A,20-21,3,Building toilets / maintenance etc.,135605.00,Toilet,No Issue,,
5A,20-21,4,Pavement Blocks / Grouting / Laying tiles,144076.00,Pavement blocks,No Issue,,
5A,20-21,5,Picking of radar waste,131103.00,Cleaning,No Issue,,
5A,20-21,6,Mask distribution,195500.00,Help / Fund / Relief Work,No Issue,,
5A,20-21,7,Push vehicles supply,200000.00,Waste disposal,No Issue,,
5A,20-21,8,Push vehicles supply,200000.00,Waste disposal,No Issue,,
5A,20-21,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199618.00,Road,No Issue,,
5A,20-21,10,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199618.00,Road,No Issue,,
5B,20-21,1,Sanitizer wash basin system installation,199316.00,Help / Fund / Relief Work,No Issue,,
5B,20-21,2,Sanitizer wash basin system installation,199947.55,Help / Fund / Relief Work,No Issue,,
5B,20-21,3,Drainage works,199950.00,Drainage,No Issue,,
5B,20-21,4,Mask distribution,195500.00,Help / Fund / Relief Work,No Issue,,
5B,20-21,5,Toilet repair,199600.00,Toilet,No Issue,,
5B,20-21,6,Toilet repair,199801.00,Toilet,No Issue,,
5B,20-21,7,Drainage related work,199793.00,Drainage,No Issue,,
5B,20-21,8,Drainage works,199786.00,Drainage,No Issue,,
5B,20-21,9,Toilet repair,199785.30,Toilet,No Issue,,
5B,20-21,10,Market related works,199949.00,Markets /Mandi,No Issue,,
5C,20-21,1,Mask purchase,200000.00,Help / Fund / Relief Work,No Issue,,
5C,20-21,2,Mask purchase,195500.00,Help / Fund / Relief Work,No Issue,,
5C,20-21,3,Bags,198646.34,Bags,No Issue,,
5C,20-21,4,Sanitizer stand purchase,199305.00,Help / Fund / Relief Work,No Issue,,
5C,20-21,5,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5C,20-21,6,Push vehicles supply,200000.00,Waste disposal,No Issue,,
5C,20-21,7,Hand wash basin sanitizer stand installation,200000.00,Help / Fund / Relief Work,No Issue,,
5C,20-21,8,Installation of direction boards,195326.61,Nameplates,No Issue,,
5C,20-21,9,Push vehicles supply,200000.00,Waste disposal,No Issue,,
5C,20-21,10,Electrification/new street lights,200000.00,Electrification,No Issue,,
5D,20-21,1,Building toilets / maintenance etc.,199953.00,Toilet,No Issue,,
5D,20-21,2,Sanitizer wash basin system installation,199316.00,Help / Fund / Relief Work,No Issue,,
5D,20-21,3,Sanitizer wash basin system installation,199938.00,Help / Fund / Relief Work,No Issue,,
5D,20-21,4,Mask purchase,195500.00,Help / Fund / Relief Work,No Issue,,
5D,20-21,5,Market related works,199900.00,Markets /Mandi,No Issue,,
5D,20-21,6,Market related works,199029.00,Markets /Mandi,No Issue,,
5D,20-21,7,Drainage works,199711.00,Drainage,No Issue,,
5D,20-21,8,Drainage works,199826.00,Drainage,No Issue,,
5D,20-21,9,Building toilets / maintenance etc.,199778.00,Toilet,No Issue,,
5D,20-21,10,Picking of radar waste,199957.00,Cleaning,No Issue,,
